x,cons,son,voice,rnd,ant,dist,high,back,low,atr,rtr,cont,delr,lat,nas,strid,sg,cg,trill,flap,lab,cor,dors,lar,tr
z,1,0,1,-1,1,0,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,0,1,0,0,0
ʐ,1,0,1,-1,0,0,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,0,1,0,0,0
ʒ,1,0,1,-1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,0,1,0,0,0
ʔ,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,1,-1,-1,0,0,0,1,0
ʕ,0,1,1,-1,-1,-1,-1,-1,-1,0,1,1,-1,0,0,-1,0,0,-1,-1,0,0,0,0,1
β,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0
θ,1,0,0,-1,1,0,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,-1,-1,0,1,0,0,0
χ,1,0,0,-1,-1,-1,0,1,0,-1,-1,1,0,0,0,1,0,0,-1,-1,0,0,1,0,0
w,0,1,1,1,-1,-1,1,1,0,-1,-1,1,-1,0,0,-1,0,0,0,0,1,0,1,0,0
ɥ,0,1,1,1,-1,-1,1,0,0,-1,-1,1,-1,0,0,-1,0,0,0,0,1,0,1,0,0
k͡p,1,0,0,0,-1,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
g͡p,1,0,1,0,-1,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
tʷ,1,0,0,1,1,0,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
tʲ,1,0,0,-1,1,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
tˠ,1,0,0,-1,1,0,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ɕ,1,0,0,-1,0,1,1,0,0,-1,-1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
ʑ,1,0,0,-1,0,1,1,0,0,-1,-1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
tˤ,1,0,0,-1,1,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ɫ,1,0,1,-1,1,0,1,1,0,-1,-1,-1,-1,1,0,-1,0,0,0,0,0,1,1,0,0
tʰ,1,0,0,-1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
d̤,1,0,1,-1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
tʼ,1,0,0,-1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ɗ,1,0,1,-1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
t͡s,1,0,0,-1,1,0,-1,-1,-1,-1,-1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
d͡z,1,0,1,-1,1,0,-1,-1,-1,-1,-1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
t͡ɬ,1,0,0,-1,1,0,-1,-1,-1,-1,-1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
d͡ɮ,1,0,1,-1,1,0,-1,-1,-1,-1,-1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
t͡ʃ ,1,0,0,-1,0,1,-1,-1,-1,-1,-1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
d͡ʒ ,1,0,1,-1,0,1,-1,-1,-1,-1,-1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
t͡θ,1,0,0,-1,1,0,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
d͡ð,1,0,1,-1,1,0,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
n͡d,1,0,1,-1,1,0,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
i,0,1,1,0,-1,-1,1,0,0,1,0,1,-1,0,0,-1,0,0,-1,-1,0,0,1,0,0
y,0,1,1,1,-1,-1,1,0,0,1,0,1,-1,0,0,-1,0,0,-1,-1,1,0,1,0,0
ɪ,0,1,1,0,-1,-1,1,0,0,0,1,1,-1,0,0,-1,0,0,-1,-1,0,0,1,0,0
ʏ,0,1,1,1,-1,-1,1,0,0,0,1,1,-1,0,0,-1,0,0,-1,-1,1,0,1,0,0
e,0,1,1,0,-1,-1,0,0,0,1,0,1,-1,0,0,-1,0,0,-1,-1,0,0,1,0,0
ø,0,1,1,1,-1,-1,0,0,0,1,0,1,-1,0,0,-1,0,0,-1,-1,1,0,1,0,0
ɛ,0,1,1,0,-1,-1,0,0,0,0,1,1,-1,0,0,-1,0,0,-1,-1,0,0,1,0,0
œ,0,1,1,1,-1,-1,0,0,0,0,1,1,-1,0,0,-1,0,0,-1,-1,1,0,1,0,0
æ,0,1,1,0,-1,-1,0,0,1,0,1,1,-1,0,0,-1,0,0,-1,-1,0,0,1,0,0
ɶ,0,1,1,1,-1,-1,0,0,1,0,1,1,-1,0,0,-1,0,0,-1,-1,1,0,1,0,0
ɯ,0,1,1,0,-1,-1,1,1,0,1,0,1,-1,0,0,-1,0,0,-1,-1,0,0,1,0,0
ɤ,0,1,1,0,-1,-1,0,1,0,1,0,1,-1,0,0,-1,0,0,-1,-1,0,0,1,0,0
ʌ,0,1,1,0,-1,-1,0,1,0,0,1,1,-1,0,0,-1,0,0,-1,-1,0,0,1,0,0
ɑ,0,1,1,0,-1,-1,0,1,1,0,1,1,-1,0,0,-1,0,0,-1,-1,0,0,1,0,0
u,0,1,1,1,-1,-1,1,1,0,1,0,1,-1,0,0,-1,0,0,-1,-1,1,0,1,0,0
ʊ,0,1,1,1,-1,-1,1,1,0,0,1,1,-1,0,0,-1,0,0,-1,-1,1,0,1,0,0
o,0,1,1,1,-1,-1,0,1,0,1,0,1,-1,0,0,-1,0,0,-1,-1,1,0,1,0,0
ɔ,0,1,1,1,-1,-1,0,1,0,0,1,1,-1,0,0,-1,0,0,-1,-1,1,0,1,0,0
ɒ,0,1,1,1,-1,-1,0,1,1,0,1,1,-1,0,0,-1,0,0,-1,-1,1,0,1,0,0
ɝ ,0,1,1,0,0,0,0,1,0,0,1,1,-1,0,0,-1,0,0,-1,-1,0,1,1,0,0
ə,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,0,0,-1,-1,0,0,1,0,0
i̥,0,1,0,0,-1,-1,1,0,0,1,0,1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0
ḭ,0,1,0,0,-1,-1,1,0,0,1,0,1,-1,0,0,0,0,1,-1,-1,0,0,1,0,0
i̤,0,1,1,0,-1,-1,1,0,0,1,0,1,-1,0,0,1,1,0,-1,-1,0,0,1,0,0
ĩ,0,1,1,0,-1,-1,1,0,0,1,0,1,-1,0,1,1,0,1,-1,-1,0,0,1,0,0
y̥,0,1,0,1,-1,-1,1,0,0,1,0,1,-1,0,0,0,0,0,-1,-1,1,0,1,0,0
̩̩y̰,0,1,0,1,-1,-1,1,0,0,1,0,1,-1,0,0,0,0,1,-1,-1,1,0,1,0,0
